step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,fraud_likelihood_audio,fraud_likelihood_text,type_encoded
428,TRANSFER,672.29,C0018950,89663.54,88991.25,C0015031,15393.77,16066.060000000001,0,1,0.1,0.1,1
154,CASH_OUT,1972.35,C0004427,90266.43,88294.07999999999,C0036286,53529.98,55502.33,0,1,0.1,0.1,2
481,CASH_IN,1982.4,C0026065,46949.0,44966.6,C0026957,11474.7,13457.1,0,0,0.1,0.1,3
424,DEBIT,667.97,C0024466,5197.42,4529.45,C0039756,84577.71,85245.68000000001,0,0,0.1,0.1,4
108,TRANSFER,3456.1,C0009609,60718.01,57261.91,C0019789,70026.83,73482.93000000001,0,1,0.1,0.1,1
461,CASH_IN,1907.74,C0028019,6180.08,4272.34,C0013195,28961.96,30869.7,0,0,0.1,0.1,3
226,TRANSFER,1031.65,C0008923,16730.43,15698.78,C0010530,72952.87,73984.51999999999,0,1,0.1,0.1,1
548,DEBIT,4283.96,C0031221,21980.41,17696.45,C0010420,98025.53,102309.49,0,0,0.1,0.1,4
242,PAYMENT,798.19,C0016358,25584.69,24786.5,C0009184,2880.65,3678.84,0,0,0.1,0.1,0
559,DEBIT,3193.48,C0037983,52862.53,49669.049999999996,C0019306,51684.45,54877.93,0,0,0.1,0.1,4
139,TRANSFER,2255.13,C0017295,18267.62,16012.489999999998,C0031449,83130.76,85385.89,0,1,0.1,0.1,1
445,CASH_OUT,2259.19,C0019324,50802.35,48543.159999999996,C0032451,88273.18,90532.37,0,1,0.1,0.1,2
260,CASH_IN,84.57,C0033331,94274.78,94190.20999999999,C0003106,54558.63,54643.2,0,0,0.1,0.1,3
304,TRANSFER,1337.34,C0015399,46881.54,45544.200000000004,C0038805,38343.61,39680.95,0,1,0.1,0.1,1
156,PAYMENT,1012.75,C0024786,29112.29,28099.54,C0035985,55817.32,56830.07,0,0,0.1,0.1,0
702,PAYMENT,2142.32,C0019116,17233.78,15091.46,C0039565,57359.9,59502.22,0,0,0.1,0.1,0
275,CASH_OUT,422.91,C0026956,46568.86,46145.95,C0006808,25923.57,26346.48,0,1,0.1,0.1,2
722,CASH_IN,87.67,C0011628,5825.67,5738.0,C0000006,95274.71,95362.38,0,0,0.1,0.1,3
731,CASH_IN,1483.98,C0031110,11703.33,10219.35,C0019774,31256.63,32740.61,0,0,0.1,0.1,3
437,CASH_IN,1903.2,C0000245,32154.21,30251.01,C0018404,30137.52,32040.72,0,0,0.1,0.1,3
562,TRANSFER,2363.75,C0018802,28873.35,26509.6,C0007613,30290.36,32654.11,0,1,0.1,0.1,1
310,CASH_OUT,1319.8436154708418,C0013970,50463.54,0.0,C0020844,91132.89,91516.41,1,1,0.8059729579615347,0.6519380371225113,2
504,TRANSFER,3056.57,C0037286,93449.99,90393.42,C0023021,64610.63,67667.2,0,1,0.1,0.1,1
542,CASH_OUT,460.71,C0030150,47939.99,47479.28,C0036763,63725.57,64186.28,0,1,0.1,0.1,2
81,CASH_IN,499.41,C0009807,42598.15,42098.74,C0033725,61577.1,62076.51,0,0,0.1,0.1,3
297,CASH_OUT,933.81,C0000260,17281.69,16347.88,C0004214,7465.8,8399.61,0,1,0.1,0.1,2
149,PAYMENT,817.44,C0012772,12819.95,12002.51,C0036668,40560.47,41377.91,0,0,0.1,0.1,0
638,PAYMENT,3327.0,C0012836,72972.86,69645.86,C0013636,88153.21,91480.21,0,0,0.1,0.1,0
635,TRANSFER,1955.4,C0014735,7494.35,5538.950000000001,C0029751,70381.89,72337.29,0,1,0.1,0.1,1
101,DEBIT,208.48,C0033132,74942.08,74733.6,C0012823,52261.58,52470.060000000005,0,0,0.1,0.1,4
536,TRANSFER,1242.1649430877621,C0036529,75043.68,0.0,C0002465,65693.44,66153.6,1,1,0.7076796807298442,0.5084353207105684,1
611,CASH_OUT,253.36,C0014719,40009.56,39756.2,C0018450,76750.53,77003.89,0,1,0.1,0.1,2
269,DEBIT,1398.67,C0037776,46044.57,44645.9,C0006960,75638.06,77036.73,0,0,0.1,0.1,4
246,TRANSFER,776.2,C0030216,30361.72,29585.52,C0002871,566.76,1342.96,0,1,0.1,0.1,1
72,CASH_OUT,467.7,C0006305,55399.69,54931.990000000005,C0033947,65211.67,65679.37,0,1,0.1,0.1,2
311,PAYMENT,6798.8,C0000052,98212.77,91413.97,C0037146,98456.09,105254.89,0,0,0.1,0.1,0
79,CASH_OUT,366.57,C0028311,85292.05,84925.48,C0024903,35409.87,35776.44,0,1,0.1,0.1,2
160,DEBIT,1318.09,C0009739,96613.43,95295.34,C0032569,20556.27,21874.36,0,0,0.1,0.1,4
342,CASH_IN,756.35,C0009317,45636.43,44880.08,C0015694,57282.11,58038.46,0,0,0.1,0.1,3
255,CASH_OUT,819.68,C0025746,51815.8,50996.12,C0027759,24176.61,24996.29,0,1,0.1,0.1,2
47,TRANSFER,1601.91,C0003303,70149.9,68547.98999999999,C0038937,51592.63,53194.54,0,1,0.1,0.1,1
516,CASH_OUT,301.02,C0030135,57541.83,57240.810000000005,C0028618,76293.83,76594.85,0,1,0.1,0.1,2
71,PAYMENT,2203.77,C0024590,85504.21,83300.44,C0010510,54166.13,56369.899999999994,0,0,0.1,0.1,0
550,CASH_IN,6513.02,C0023793,48680.67,42167.649999999994,C0022883,45711.75,52224.770000000004,0,0,0.1,0.1,3
473,TRANSFER,11258.323587338853,C0019521,50998.42,0.0,C0000766,855.92,5387.03,1,1,0.7364581392379372,0.5852776168458987,1
357,CASH_IN,304.74,C0016227,58753.73,58448.990000000005,C0013240,30881.77,31186.510000000002,0,0,0.1,0.1,3
464,PAYMENT,1595.41,C0014596,45737.56,44142.149999999994,C0022129,90114.8,91710.21,0,0,0.1,0.1,0
161,TRANSFER,343.33,C0033362,4297.94,3954.6099999999997,C0027898,45972.64,46315.97,0,1,0.1,0.1,1
226,TRANSFER,3105.68,C0015591,78738.23,75632.55,C0016721,61260.84,64366.52,0,1,0.1,0.1,1
317,TRANSFER,429.9,C0000418,10196.03,9766.130000000001,C0019349,11893.85,12323.75,0,1,0.1,0.1,1
10,DEBIT,2340.13,C0030404,44638.57,42298.44,C0017805,49512.36,51852.49,0,0,0.1,0.1,4
617,PAYMENT,2520.48,C0015231,47149.05,44628.57,C0006924,18621.79,21142.27,0,0,0.1,0.1,0
438,DEBIT,193.89,C0039309,10598.86,10404.970000000001,C0027415,13027.92,13221.81,0,0,0.1,0.1,4
8,PAYMENT,4510.49,C0030484,91143.21,86632.72,C0039969,36346.65,40857.14,0,0,0.1,0.1,0
242,CASH_OUT,264.03,C0037195,93790.09,93526.06,C0037854,73845.64,74109.67,0,1,0.1,0.1,2
603,TRANSFER,4274.99,C0014694,13809.64,9534.65,C0011909,86181.64,90456.63,0,1,0.1,0.1,1
330,CASH_OUT,332.84,C0014524,45196.76,44863.920000000006,C0039136,68051.39,68384.23,0,1,0.1,0.1,2
100,TRANSFER,16148.478972691166,C0010723,56160.54,0.0,C0001357,22712.69,24674.87,1,1,0.823797458622524,0.7037814097486268,1
509,CASH_IN,3282.9,C0019746,68240.78,64957.88,C0036368,3570.12,6853.02,0,0,0.1,0.1,3
52,DEBIT,187.33,C0031572,35012.44,34825.11,C0006753,21597.69,21785.02,0,0,0.1,0.1,4
617,CASH_OUT,735.91,C0020985,47284.96,46549.049999999996,C0014140,51970.85,52706.76,0,1,0.1,0.1,2
641,PAYMENT,806.56,C0013738,55270.57,54464.01,C0016439,58676.44,59483.0,0,0,0.1,0.1,0
591,CASH_OUT,3758.57,C0031182,54300.66,50542.090000000004,C0023255,90417.59,94176.16,0,1,0.1,0.1,2
415,DEBIT,649.26,C0015158,21171.6,20522.34,C0034214,90207.44,90856.7,0,0,0.1,0.1,4
337,DEBIT,1348.82,C0029457,22948.92,21600.1,C0032671,3811.42,5160.24,0,0,0.1,0.1,4
283,DEBIT,4801.77,C0016271,60142.6,55340.83,C0030823,28988.1,33789.869999999995,0,0,0.1,0.1,4
691,DEBIT,765.96,C0026530,67240.77,66474.81,C0025439,50420.41,51186.37,0,0,0.1,0.1,4
118,CASH_OUT,3627.51,C0033157,25422.08,21794.57,C0003837,87316.04,90943.54999999999,0,1,0.1,0.1,2
461,DEBIT,5251.66,C0004492,21302.52,16050.86,C0008556,24741.0,29992.66,0,0,0.1,0.1,4
489,TRANSFER,1663.68,C0003545,4413.06,2749.38,C0032015,92439.81,94103.48999999999,0,1,0.1,0.1,1
727,PAYMENT,1395.92,C0025163,86248.19,84852.27,C0032711,36294.6,37690.52,0,0,0.1,0.1,0
19,PAYMENT,2085.12,C0034561,94845.22,92760.1,C0000348,69878.03,71963.15,0,0,0.1,0.1,0
225,PAYMENT,3504.62,C0016227,74577.34,71072.72,C0005360,90901.29,94405.90999999999,0,0,0.1,0.1,0
701,DEBIT,1795.05,C0005230,45707.5,43912.45,C0007357,81490.84,83285.89,0,0,0.1,0.1,4
659,CASH_IN,169.04,C0009485,39362.33,39193.29,C0019133,29377.64,29546.68,0,0,0.1,0.1,3
420,PAYMENT,2417.13,C0022800,3531.19,1114.06,C0002410,94486.69,96903.82,0,0,0.1,0.1,0
40,CASH_IN,1629.8,C0000510,46645.04,45015.24,C0023349,54463.78,56093.58,0,0,0.1,0.1,3
58,PAYMENT,6592.69,C0016476,63976.17,57383.479999999996,C0029618,70201.72,76794.41,0,0,0.1,0.1,0
336,CASH_IN,1357.38,C0030587,12813.36,11455.98,C0016528,95692.67,97050.05,0,0,0.1,0.1,3
309,DEBIT,185.54,C0036955,53213.4,53027.86,C0014810,39333.72,39519.26,0,0,0.1,0.1,4
696,DEBIT,695.66,C0003308,2238.33,1542.67,C0024104,88760.44,89456.1,0,0,0.1,0.1,4
734,DEBIT,88.46,C0005301,50612.13,50523.67,C0007195,76296.83,76385.29000000001,0,0,0.1,0.1,4
546,CASH_IN,925.16,C0004477,33225.41,32300.250000000004,C0002561,74587.94,75513.1,0,0,0.1,0.1,3
288,DEBIT,724.23,C0039155,91313.76,90589.53,C0024843,56097.8,56822.030000000006,0,0,0.1,0.1,4
234,TRANSFER,816.36,C0025806,58205.57,57389.21,C0008808,83943.91,84760.27,0,1,0.1,0.1,1
112,TRANSFER,574.85,C0015564,59628.18,59053.33,C0015742,41799.66,42374.51,0,1,0.1,0.1,1
646,TRANSFER,5604.39,C0032393,69861.44,64257.05,C0014737,64057.22,69661.61,0,1,0.1,0.1,1
633,TRANSFER,9147.83,C0011935,82298.35,73150.52,C0011398,88769.18,97917.01,0,1,0.1,0.1,1
704,PAYMENT,20.23,C0024031,64100.64,64080.409999999996,C0000849,77719.13,77739.36,0,0,0.1,0.1,0
354,DEBIT,4076.7,C0004702,21345.93,17269.23,C0001515,98123.34,102200.04,0,0,0.1,0.1,4
51,CASH_OUT,264.0,C0007311,70612.27,70348.27,C0000498,63381.88,63645.88,0,1,0.1,0.1,2
298,PAYMENT,2790.39,C0028572,83394.67,80604.28,C0007741,26264.93,29055.32,0,0,0.1,0.1,0
351,TRANSFER,337.41,C0020119,15893.09,15555.68,C0029983,10587.77,10925.18,0,1,0.1,0.1,1
317,TRANSFER,3044.99,C0025343,46892.45,43847.46,C0023688,5142.8,8187.79,0,1,0.1,0.1,1
66,CASH_OUT,5886.16,C0017619,69876.26,63990.09999999999,C0026020,28315.94,34202.1,0,1,0.1,0.1,2
276,TRANSFER,5453.54,C0038489,78834.96,73381.42000000001,C0037421,50575.52,56029.06,0,1,0.1,0.1,1
725,CASH_OUT,2137.41,C0025510,51002.74,48865.33,C0028878,17229.19,19366.6,0,1,0.1,0.1,2
257,DEBIT,1273.64,C0035238,53866.05,52592.41,C0002552,50740.17,52013.81,0,0,0.1,0.1,4
596,PAYMENT,4051.03,C0032069,98559.8,94508.77,C0015982,6262.87,10313.9,0,0,0.1,0.1,0
720,CASH_IN,346.45,C0030051,83276.42,82929.97,C0016988,46802.28,47148.729999999996,0,0,0.1,0.1,3
469,CASH_OUT,4239.79,C0016352,9445.04,5205.250000000001,C0030037,71086.06,75325.84999999999,0,1,0.1,0.1,2
630,CASH_OUT,589.45,C0004503,68223.86,67634.41,C0011891,57210.22,57799.67,0,1,0.1,0.1,2
221,DEBIT,609.68,C0010489,70481.67,69871.99,C0020065,72783.0,73392.68,0,0,0.1,0.1,4
209,CASH_OUT,2521.82,C0023148,92367.77,89845.95,C0038927,26907.74,29429.56,0,1,0.1,0.1,2
463,DEBIT,1778.67,C0028842,94530.23,92751.56,C0002928,42261.85,44040.52,0,0,0.1,0.1,4
380,PAYMENT,5717.37,C0021854,53397.37,47680.0,C0004286,80433.79,86151.15999999999,0,0,0.1,0.1,0
436,CASH_OUT,1446.45,C0019799,32753.36,31306.91,C0015878,38114.96,39561.409999999996,0,1,0.1,0.1,2
396,CASH_IN,6.59,C0017291,72959.77,72953.18000000001,C0019673,19143.34,19149.93,0,0,0.1,0.1,3
721,CASH_OUT,687.75,C0000331,75346.63,74658.88,C0034718,34337.86,35025.61,0,1,0.1,0.1,2
703,CASH_IN,10791.97,C0032725,62808.26,52016.29,C0028892,67625.89,78417.86,0,1,0.1,0.1,3
93,DEBIT,2330.31,C0026976,17895.74,15565.430000000002,C0030537,66648.76,68979.06999999999,0,0,0.1,0.1,4
340,PAYMENT,1493.05,C0020776,7288.49,5795.44,C0025175,27392.7,28885.75,0,0,0.1,0.1,0
176,PAYMENT,1952.15,C0003783,66067.18,64115.02999999999,C0023314,41114.94,43067.090000000004,0,0,0.1,0.1,0
112,CASH_OUT,3398.69,C0033700,20844.97,17446.280000000002,C0030797,45153.17,48551.86,0,1,0.1,0.1,2
370,CASH_OUT,1403.63,C0025110,26824.82,25421.19,C0007181,70142.21,71545.84000000001,0,1,0.1,0.1,2
452,PAYMENT,3403.49,C0023173,36766.14,33362.65,C0008038,63774.44,67177.93000000001,0,0,0.1,0.1,0
609,TRANSFER,366.0,C0013852,61601.78,61235.78,C0004343,1354.23,1720.23,0,1,0.1,0.1,1
527,CASH_IN,1459.14,C0033842,73446.3,71987.16,C0036141,13423.39,14882.529999999999,0,0,0.1,0.1,3
554,PAYMENT,2877.32,C0022287,91935.39,89058.06999999999,C0039123,18096.83,20974.15,0,0,0.1,0.1,0
614,CASH_OUT,879.11,C0012953,65245.44,64366.33,C0017984,69957.88,70836.99,0,1,0.1,0.1,2
310,TRANSFER,5925.42,C0014590,92830.74,86905.32,C0000824,85024.47,90949.89,0,1,0.1,0.1,1
251,CASH_IN,3524.5,C0032921,2438.54,0.0,C0000916,15306.96,18831.46,0,1,0.1,0.1,3
535,CASH_OUT,71.73,C0000108,62608.52,62536.78999999999,C0030811,99634.84,99706.56999999999,0,1,0.1,0.1,2
667,CASH_IN,2677.65,C0015151,25282.6,22604.949999999997,C0016682,99525.35,102203.0,0,0,0.1,0.1,3
502,DEBIT,1879.69,C0032624,85596.62,83716.93,C0014423,22346.83,24226.52,0,0,0.1,0.1,4
275,CASH_IN,1382.58,C0039007,17721.16,16338.58,C0007071,17505.87,18888.449999999997,0,0,0.1,0.1,3
246,CASH_OUT,24.62,C0030867,40823.53,40798.909999999996,C0039887,80899.05,80923.67,0,1,0.1,0.1,2
46,PAYMENT,6338.82,C0005565,92753.39,86414.57,C0039382,14896.02,21234.84,0,0,0.1,0.1,0
663,PAYMENT,944.62,C0027355,98836.74,97892.12000000001,C0037433,395.61,1340.23,0,0,0.1,0.1,0
558,CASH_OUT,684.83,C0020720,66901.39,66216.56,C0036346,21634.15,22318.980000000003,0,1,0.1,0.1,2
686,CASH_IN,4616.53,C0031646,58113.79,53497.26,C0003008,63547.73,68164.26000000001,0,0,0.1,0.1,3
517,PAYMENT,1275.33,C0007734,9410.08,8134.75,C0037037,28916.93,30192.260000000002,0,0,0.1,0.1,0
196,DEBIT,5450.61,C0014061,52898.83,47448.22,C0004584,60985.47,66436.08,0,0,0.1,0.1,4
166,CASH_OUT,734.49,C0022464,71555.29,70820.79999999999,C0039871,64761.58,65496.07,0,1,0.1,0.1,2
170,CASH_IN,1047.88,C0013345,89509.4,88461.51999999999,C0037388,30098.03,31145.91,0,0,0.1,0.1,3
38,CASH_OUT,688.64,C0015002,42531.86,41843.22,C0009452,48800.22,49488.86,0,1,0.1,0.1,2
70,TRANSFER,2746.22,C0002502,50179.49,47433.27,C0026142,72794.19,75540.41,0,1,0.1,0.1,1
496,TRANSFER,2891.96,C0029336,3081.51,189.55000000000018,C0007341,99697.39,102589.35,0,1,0.1,0.1,1
10,PAYMENT,2840.04,C0037934,95336.96,92496.92000000001,C0018423,83442.95,86282.98999999999,0,0,0.1,0.1,0
369,TRANSFER,543.93,C0029056,46768.94,46225.01,C0031931,22437.12,22981.05,0,1,0.1,0.1,1
140,CASH_OUT,670.03,C0017103,58395.4,57725.37,C0028532,5993.55,6663.58,0,1,0.1,0.1,2
278,PAYMENT,461.23,C0006116,19069.55,18608.32,C0024331,82274.04,82735.26999999999,0,0,0.1,0.1,0
523,CASH_OUT,1445.18,C0002482,29828.82,28383.64,C0036472,63822.98,65268.16,0,1,0.1,0.1,2
118,TRANSFER,3575.41,C0027357,17952.14,14376.73,C0029420,83128.68,86704.09,0,1,0.1,0.1,1
678,TRANSFER,96.82,C0013059,18652.2,18555.38,C0008348,23256.59,23353.41,0,1,0.1,0.1,1
189,CASH_IN,321.78,C0004634,74940.6,74618.82,C0000787,97214.45,97536.23,0,0,0.1,0.1,3
423,CASH_OUT,642.11,C0020576,68881.8,68239.69,C0023508,48008.71,48650.82,0,1,0.1,0.1,2
424,TRANSFER,4076.3,C0008050,2324.78,0.0,C0032347,69140.32,73216.62000000001,0,1,0.1,0.1,1
50,CASH_OUT,9784.29,C0039025,57132.49,47348.2,C0018492,3895.51,13679.800000000001,0,1,0.1,0.1,2
50,TRANSFER,2508.55,C0000558,28681.64,26173.09,C0007600,11905.87,14414.420000000002,0,1,0.1,0.1,1
207,PAYMENT,3333.32,C0022522,45908.77,42575.45,C0002573,60887.91,64221.23,0,0,0.1,0.1,0
111,PAYMENT,1805.85,C0003164,55089.05,53283.200000000004,C0016100,21298.94,23104.789999999997,0,0,0.1,0.1,0
735,PAYMENT,1648.13,C0009392,90584.88,88936.75,C0008186,36550.99,38199.119999999995,0,0,0.1,0.1,0
640,TRANSFER,10534.723699927777,C0009676,32599.58,0.0,C0016212,23365.23,26261.15,1,1,0.8524992786884318,0.7153135637430585,1
635,TRANSFER,2918.221091307108,C0023820,79603.18,0.0,C0013212,92751.93,93066.18999999999,1,1,0.9461401823383447,0.6018635320980718,1
124,PAYMENT,356.71,C0007541,35760.6,35403.89,C0006293,8897.16,9253.869999999999,0,0,0.1,0.1,0
74,DEBIT,1010.23,C0014775,47744.45,46734.219999999994,C0023125,48570.55,49580.780000000006,0,0,0.1,0.1,4
246,TRANSFER,696.58,C0009736,31200.99,30504.41,C0033674,35756.21,36452.79,0,1,0.1,0.1,1
271,TRANSFER,825.68,C0002640,30970.57,30144.89,C0021864,6515.02,7340.700000000001,0,1,0.1,0.1,1
289,PAYMENT,1150.12,C0034276,88021.79,86871.67,C0022207,86350.33,87500.45,0,0,0.1,0.1,0
262,TRANSFER,1201.9,C0033515,86810.02,85608.12000000001,C0020297,26597.93,27799.83,0,1,0.1,0.1,1
25,CASH_IN,963.09,C0030590,10473.23,9510.14,C0028041,23101.54,24064.63,0,0,0.1,0.1,3
616,PAYMENT,551.78,C0017067,60239.08,59687.3,C0014544,9808.74,10360.52,0,0,0.1,0.1,0
518,CASH_OUT,854.01,C0037381,29240.18,28386.170000000002,C0038883,83291.72,84145.73,0,1,0.1,0.1,2
251,CASH_OUT,351.25,C0024889,36133.17,35781.92,C0005324,59178.08,59529.33,0,1,0.1,0.1,2
705,TRANSFER,4511.76,C0003864,62566.64,58054.88,C0020487,92717.58,97229.34,0,1,0.1,0.1,1
613,DEBIT,4115.63,C0000519,61236.95,57121.32,C0006179,8978.53,13094.16,0,0,0.1,0.1,4
725,CASH_IN,446.36,C0029946,69103.87,68657.51,C0038093,30822.07,31268.43,0,0,0.1,0.1,3
553,PAYMENT,4011.22,C0038236,84563.41,80552.19,C0019481,81184.5,85195.72,0,0,0.1,0.1,0
566,DEBIT,1085.58,C0030723,92484.9,91399.31999999999,C0038924,56889.96,57975.54,0,0,0.1,0.1,4
439,CASH_OUT,8261.33,C0024578,8385.02,123.69000000000051,C0000602,17388.46,25649.79,0,1,0.1,0.1,2
579,PAYMENT,3774.02,C0011832,81218.21,77444.19,C0039419,45243.87,49017.89,0,0,0.1,0.1,0
71,CASH_IN,3264.19,C0038618,31331.79,28067.600000000002,C0011406,42785.64,46049.83,0,0,0.1,0.1,3
403,DEBIT,1657.39,C0017153,92153.81,90496.42,C0033627,31296.88,32954.270000000004,0,0,0.1,0.1,4
391,CASH_IN,477.33,C0035924,210.59,0.0,C0034432,74103.96,74581.29000000001,0,0,0.1,0.1,3
653,CASH_OUT,4282.26,C0021975,65158.28,60876.02,C0030743,71735.54,76017.79999999999,0,1,0.1,0.1,2
